Окинская 3-я улица, 12
Холмский проезд, 40
Нарядная улица, 23
Кайтымовская 1-я улица, 21
Алуштинская улица, 21
Гидромонтажная улица, 20
Рионский переулок, 25
Кожевенного завода тер, 11
Переездная улица, 5
Деповская улица, 12
Линейная улица, 33
Поддубенская улица, 36
Камчатская улица, 17
Слесарей переулок, 39
Немировича-Данченко 1-й переулок, 17
Бердский тупик, 4
Курганский проезд, 8
Кайтымовская улица, 28
Учительская улица, 36
Гурьевская улица, 39
Уссурийская улица, 31
Семьи Шамшиных улица, 21
Ульяновская улица, 37
Новая Заря улица, 19
Рижский переулок, 18
МОПРА Малая улица, 37
Военная Горка 5 Линия переулок, 34
Шоссейная 1-я улица, 34
Сторожевая улица, 4
Пермитина улица, 7
Айвазовского улица, 10
Таврическая улица, 26
Ачинская улица, 9
Подольская улица, 40
Гурзуфская улица, 25
Бурденко улица, 35
Станиславского 4-й переулок, 15
Харьковская 2-я улица, 40
Окинская 3-я улица, 38
Рабочий 6-й переулок, 37
Костычева 4-й переулок, 35
Профсоюзная улица, 39
Высокогорная улица, 36
Боровой переулок, 28
Соревнования улица, 25
Воровского улица, 31
Чукотский 6-й переулок, 35
Экскаваторный 3-й переулок, 24
Амбулаторная улица, 36
Куйбышева 2-я улица, 2
Дунайская улица, 27
Каштановая улица, 22
Олимпийская улица, 11
Златоустовская улица, 12
Успенского 6-й переулок, 40
Буровая улица, 10
Белорусская улица, 32
Академика Трофимука улица, 13
Мичурина улица, 10
Римского-Корсакова улица, 29
Писарева улица, 39
Шоссейный переулок, 5
Смежная улица, 39
Алейская улица, 12
Газонная улица, 32
Инюшенский 4-й переулок, 16
Ставропольский 2-й переулок, 24
Железнодорожная улица, 7
Красногвардейская улица, 36
Профинтерна улица, 5
Бакинская улица, 32
Сухарная Береговая 2-я улица, 7
Марии Ульяновой улица, 39
Рабочая 5-я улица, 1
Белостокская улица, 3
Терновый переулок, 21
Артёма улица, 20
Оловозаводская улица, 30
Каштановая 2-я улица, 7
Газонная улица, 9
Бугринская улица, 34
Ольховская 6-я улица, 1
Якушева улица, 33
Крестьянская улица, 30
Албазинская улица, 18
Шорная улица, 33
Троллейный 1-й переулок, 27
Обская 2-я улица, 6
Сибиряков-Гвардейцев улица, 2
Рябиновая улица, 19
Бийский 3-й переулок, 22
Илимская улица, 32
Кирпичная Горка 3-я улица, 4
Златоустовская улица, 31
Байдукова улица, 33
1 Кирзавод улица, 29
Гарина-Михайловского площадь, 25
Губкина переулок, 31
Колхозная улица, 22
Серафимовича 1-й переулок, 24
Моховая 2-я улица, 15
Бронный 2-й переулок, 39
Бронный 2-й переулок, 29
Ставропольская улица, 2
Расковой улица, 20
Октябрьская Магистраль улица, 1
Бирюсинка улица, 35
Железнодорожная Малая улица, 1
Рабочий 6-й переулок, 29
Циолковского улица, 40
Громова улица, 30
Электронный 1-й переулок, 25
Узловая улица, 28
Новобугринская улица, 7
Плановая улица, 9
Высокогорная 2-я улица, 12
Оренбургская улица, 35
Камышенский 6-й переулок, 36
Союза Молодежи 2-я улица, 19
Лучезарная улица, 1
Балканская улица, 28
Кустарная 1-я улица, 12
Гэсстроевский 3-й переулок, 40
Одоевского улица, 18
Портовая улица, 20
Часовой 2-й переулок, 33
Малахитовая улица, 34
Конный парк, 26
МОПРА Малая улица, 33
19 км казарма, 23
Телевизионный 2-й переулок, 22
Докучаева улица, 2
Коминтерна улица, 25
Бульварная улица, 15
Гипсовая улица, 15
Подъемная улица, 14
Гончарова улица, 15
Гранитная улица, 9
Военная улица, 16
Гравийный переулок, 9
Геодезическая улица, 33
Тюленина улица, 35
Николая Островского улица, 30
Ботаническая улица, 26
Монтажников переулок, 18
Пилотов улица, 38
Телевизионный 2-й переулок, 5
Зеленый Бор улица, 25
Токарей переулок, 27
Красногорский 3-й переулок, 5
Романовский Пеший Спуск улица, 37
Шапошникова переулок, 24
Осипенко улица, 6
Балластный 1-й переулок, 26
Инская ст, 14
Серафимовича 3-й переулок, 1
Степана Разина улица, 10
Есенина улица, 21
Майская улица, 9
Порт-Артурский 3-й переулок, 34
Стасова улица, 31
Профинтерна улица, 32
Трубная улица, 24
Курчатова улица, 27
Немировича-Данченко 1-й переулок, 11
Суходольная улица, 25
проф Колос тер, 18
30 лет Октября улица, 22
Сибсельмашевская улица, 15
Станиславского 1-й переулок, 29
Рабочий 5-й переулок, 13
Сухой Лог улица, 19
Туманная улица, 19
Машиностроителей улица, 5
Римского-Корсакова 5-й переулок, 37
Дачи УВД тер, 30
Уржумская улица, 14
Байкальский переулок, 31
Декабристов улица, 12
Звенигородская улица, 23
Электронный 2-й переулок, 5
Челюскинцев улица, 25
Светлановская 2-я улица, 26
Пугачёва улица, 24
Войкова тупик, 19
Танковая улица, 33
Юбилейная улица, 39
Ионосферная улица, 9
Курская улица, 35
Демакова улица, 40
Оборонная улица, 18
Белоусова улица, 35
Бабушкина улица, 7
Рылеева улица, 12
Магро улица, 30
Кубовая улица, 29
Плеханова Малая улица, 16
МОПРА улица, 7
Красноводская улица, 33
Белорусская улица, 36
Ипподромская улица, 3
Столичная улица, 10
Камышенский 2-й переулок, 5
Автономная улица, 36
Бронный 7-й переулок, 10
Бийский 2-й переулок, 12
Дунайская улица, 2
Полевая улица, 25
Жуковского улица, 6
Центральная улица, 5
Красногорская улица, 10
Ольховская 2-я улица, 14
Воскова улица, 10
Биатлонная улица, 3
Военная улица, 28
Паромная улица, 37
Ярославского улица, 34
Якушева улица, 18
Кочубея улица, 13
Сивашский 1-й переулок, 23
Кавалерийского Полка улица, 6
Островной переулок, 27
Сургутская улица, 26
Герцена улица, 25
Военной Горки 1-й лог переулок, 13
Мира улица, 32
Просторная улица, 24
Нахимова улица, 28
Октябрьская улица, 9
Бобруйский переулок, 37
Нахимова улица, 4
проф Нижняя Ельцовка тер, 32
Репина улица, 11
Гусинобродское шоссе, 40
Щорса улица, 22
Экскаваторная 3-я улица, 5
Сочинская улица, 15
Капитана Сигова улица, 19
Баганская улица, 13
Гэсстроевский 9-й переулок, 9
Охотская улица, 13
Андреева улица, 39
Движенцев улица, 34
Телевизионный 2-й переулок, 30
Кондратюка площадь, 32
Орловская улица, 34
Шмидта улица, 4
Огинского улица, 4
Берёзовая улица, 35
Подбельского улица, 11
Челюскинцев улица, 16
Трикотажный 3-й переулок, 9
Камышенская улица, 2
Славянская улица, 5
Рионский переулок, 10
Зареченская улица, 23
Обской переулок, 24
Шапошникова 2-й переулок, 29
Ипподромская улица, 39
Гэсстроевская улица, 21
Халтурина улица, 9
Новослободский переулок, 17
Новоморская улица, 8
Рябиновая улица, 15
Рионский 2-й переулок, 21
Юргинская улица, 28
Томьусинская улица, 15
Фадеева улица, 3
Хованская улица, 35
Саратовская улица, 40
Почтовый переулок, 5
Понтонная улица, 33
Ольги Берггольц улица, 35
Красная Горка 2 Линия переулок, 23
Каштановая 1-я улица, 40
Почтовый 6-й переулок, 23
Красина улица, 14
Проточная улица, 22
Молдавская улица, 30
Красносельский 3-й проезд, 3
Таёжная улица, 11
Сибирцева улица, 26
Урицкого улица, 29
Алма-Атинская улица, 35
Уральская улица, 40
Циолковского улица, 7
Бориса Богаткова улица, 36
Заслонова улица, 38
Державина тупик, 13
Курортная улица, 32
Калужский 1-й переулок, 27
Коралловая улица, 12
Красноармейский проезд, 20
Стасова улица, 19
Почтовый 4-й переулок, 17
Таловая улица, 15
Карельская улица, 1
Славгородская 2-я улица, 2
Гоголя улица, 14
Бронный 18-й переулок, 4
Пасечная улица, 39
Блокпост улица, 35
25 лет Октября улица, 3
Титова улица, 23
Междуреченская улица, 5
Плющихи 1-й переулок, 10
Бетонная улица, 31
Корчагина улица, 14
Яринская улица, 32
Рионский переулок, 28
Медкадры улица, 13
Журинская улица, 7
Шуберта улица, 38
Приобская улица, 31
Советское шоссе, 13
Благовещенская 2-я улица, 7
Камышенский 1-й переулок, 16
Бассейный переулок, 39
Лазарева улица, 19
Сургутская улица, 17
Широтная улица, 26
Авиастроителей улица, 12
Бугринский Выселок переулок, 35
Урожайная улица, 39
25 лет Октября улица, 8
Славянская улица, 2
Камышенский 6-й переулок, 22
Гончарова улица, 8
Короленко Малая улица, 27
Физкультурная улица, 15
Троицкая улица, 17
Королёва улица, 17
Железняка улица, 27
Озёрная улица, 38
Декоративная улица, 11
Революции улица, 40
Шевцовой 2-я улица, 38
Самарская улица, 28
Каменогорская улица, 29
Дунайская улица, 12
Листопадная улица, 3
Солнечная 1-я улица, 28
Васильковый переулок, 31
8 Марта улица, 12
Селезнёва улица, 6
Находка улица, 29
Омская улица, 8
Бурденко улица, 5
Яринская 2-я улица, 14
Рябиновая улица, 32
Кисловодская улица, 26
Мира улица, 28
Прибрежный переулок, 39
Российская улица, 9
Дальневосточная улица, 13
Васильковая улица, 23
Татарский Спуск улица, 18
Ремесленный переулок, 13
Выставочная улица, 12
Суркова улица, 18
Владимировская 2-я улица, 16
Парижской Коммуны улица, 14
Кайтымовская улица, 9
Кузбасская улица, 33
Бабушкина улица, 27
Приисковая улица, 29
Урманова улица, 31
Алтайская улица, 3
Шевцовой 5-я улица, 4
Грекова тупик, 16
2 Кирзавод улица, 12
Ремонтная улица, 20
Крамского улица, 39
Почтовый 5-й переулок, 4
Печатников улица, 33
Алексеева переулок, 20
Золоторожская улица, 35
Доронина улица, 9
Камышенский 5-й переулок, 33
Прожекторная улица, 37
1 Кирзавод улица, 26
Ногина улица, 24
Красина тупик, 15
Пойма реки Каменки улица, 30
Ельцовская улица, 15
Изоляторная улица, 38
Днепровская улица, 6
Дмитрия Донского улица, 16
Порт-Артурский 5-й переулок, 13
Сакко и Ванцетти улица, 1
Федосеева улица, 2
Сосновая улица, 13
Лесной проезд, 30
Локомотивная улица, 13
Шишкина улица, 34
Садовая улица, 16
Лесное шоссе, 16
Самарская улица, 6
Далидовича улица, 17
Советская Сибирь улица, 14
Журавлева улица, 38
Изоляторная улица, 11
Ландшафтный 1-й переулок, 30
Алексеева переулок, 17
Потанинский переулок, 17
Алтайский 2-й переулок, 40
Таёжная улица, 30
Ильменская улица, 26
Заслонова улица, 27
Оловянная улица, 40
Бетонный переезд, 3
Вокзальная магистраль, 36
Санаторий им Тельмана тер, 39
Красный Восток улица, 6
12 Декабря улица, 32
Чукотская улица, 3
Ольховский 2-й переулок, 16
Вилюйская улица, 37
Алтайский 2-й переулок, 29
Грекова улица, 28
Лермонтова улица, 7
Проектная улица, 4
Саянская улица, 32
Авиационная улица, 23
Баженова улица, 30
Дальняя 2-я улица, 24
Кропоткина Малая улица, 29
Овражная улица, 32
Кирзаводская 9-я улица, 19
Магро улица, 37
Шилкинская улица, 31
Лазо улица, 13
Бассейный переулок, 11
Ньютона улица, 28
Калужский 8-й переулок, 5
Донбасская улица, 21
Островная улица, 35
Фрунзе улица, 33
Демьяновская улица, 23
Почтовый 2-й переулок, 18
Татарский Спуск улица, 25
Кольцова улица, 11
Троллейная улица, 12
Павлова переулок, 35
Калужский 2-й переулок, 21
Поселковый 2-й переулок, 13
Станционная улица, 19
Порт-Артурская улица, 5
Мичурина переулок, 7
Кирпичная Горка 5-я улица, 37
Балакирева улица, 35
Камышенский 7-й переулок, 17
Кирпичная Горка 4-я улица, 9
Вересаева улица, 18
6 Пятилетки 1-й переулок, 14
Брестская Горка улица, 25
Яблочкина улица, 39
Печорская улица, 40
Морской проспект, 36
Карская улица, 26
Внешняя улица, 11
Шевцовой 2-я улица, 30
Аникина улица, 16
Удмуртская улица, 8
Порт-Артурский 1-й переулок, 20
Новосельская улица, 22
Попова улица, 23
Двинская улица, 12
Ольги Берггольц улица, 39
Забалуева 3-й переулок, 10
Гражданская 2-я улица, 9
Детский проезд, 25
Полтавская улица, 15
Кожевенного завода тер, 21
Великолукский переулок, 27
Курако улица, 24
Новикова переулок, 24
Морзистов переулок, 25
Бурлинская улица, 27
Фадеева улица, 10
Олега Кошевого улица, 21
Илимская улица, 6
Верещагина переулок, 7
Бронный 10-й переулок, 15
Рощинская улица, 12
Сурикова проезд, 3
Черносельская улица, 29
Луговая улица, 38
Лыкова улица, 37
Рионский переулок, 34
Апрельская улица, 24
Гурьевская улица, 2
Военная Горка 4 Линия переулок, 32
Павлова улица, 3
Университетский проспект, 17
Бронный 17-й переулок, 30
Победителей переулок, 2
Яринская 2-я улица, 33
Юннатов улица, 34
Ясная улица, 17
Серебристая улица, 22
Вяземская улица, 19
Инюшенский 3-й переулок, 9
Камышенский 10-й переулок, 19
Ландшафтный 1-й переулок, 33
Трудовая улица, 18
Космическая улица, 31
Тушинская улица, 24
Санаторий ПВО тер, 27
Ягодинская улица, 36
Ставского улица, 39
Депутатская улица, 29
Олекминская улица, 24
Бронный 11-й переулок, 40
Ильича улица, 30
Артиллерийская улица, 20
Курская улица, 39
Алуштинская улица, 18
Правды улица, 36
Солнечная 1-я улица, 23
Челюскинцев улица, 21
Калужский 4-й переулок, 2
Брюллова улица, 31
Рекордный переулок, 25
Киевская улица, 33
Потёмкина переулок, 38
Приморская улица, 7
Республиканская улица, 19
ДОС тер, 1
Ярославского улица, 7
Бурденко 1-й переулок, 5
Красина тупик, 9
Алуштинская улица, 28
Санаторий Заельцовский Бор п, 26
Войкова тупик, 20
Котовского улица, 23
Пограничная улица, 28
Трубопроводная улица, 10
6 Пятилетки 1-й переулок, 21
Бугурусланская улица, 5
Дальневосточная улица, 25
Сибсельмашевская улица, 21
Балканская улица, 13
Новикова улица, 37
Оршанская улица, 27
Рионская улица, 27
Айвазовского Малая улица, 5
Алданская улица, 19
Рионская улица, 31
Плавильщиков улица, 3
Радужная улица, 30
Новаторский переулок, 4
Водонасосная 1-я улица, 1
Сторожевая улица, 20
Плахотного улица, 10
Центральная улица, 24
Калужский 8-й переулок, 9
Титова улица, 12
Барнаульский переулок, 15
Бестужева 2-й переулок, 3
Ядринцевская улица, 2
Оренбургская улица, 39
Стасова улица, 3
Электронный 3-й переулок, 18
Изумрудная улица, 14
Рабочая 5-я улица, 23
Днепровская улица, 16
Доронина улица, 30
Бурденко 3-й переулок, 22
Лужниковская улица, 4
Игарская улица, 6
Гурьевская улица, 16
Троллейный 1-й переулок, 11
Менжинского улица, 19
Чулымский 2-й переулок, 37
Авиастроителей улица, 1
Волжская улица, 2
Чигорина улица, 16
Обская 2-я улица, 17
Севастопольская улица, 20
Соловьиная улица, 35
Чехова улица, 15
Кирпичная Горка 3-я улица, 7
Базовая улица, 27
Ясная улица, 3
Халтурина 1-й переулок, 24
Шадринская улица, 35
Складская 2-я улица, 5
Комсомольская улица, 27
Внешняя улица, 6
Балластный переулок, 8
Кавалерийская улица, 6
Камышенский 3-й переулок, 21
Макетная улица, 14
Северная улица, 4
Авиационная улица, 3
Электрозаводской проезд, 31
Благовещенская 1-я улица, 30
Далидовича улица, 3
Пятницкого улица, 14
Островной переулок, 39
Лузгина улица, 39
Широкая улица, 28
Тубинская улица, 10
Станиславского улица, 2
Казарменная улица, 2
Радищева улица, 33
Ольховская 3-я улица, 30
Сухарная 1-я улица, 20
Чукотский 2-й переулок, 28
Профинтерна улица, 29
Лермонтова улица, 17
Васюганская улица, 29
Восточная 2-я улица, 27
Саянская улица, 27
Никитина улица, 16
Архитектурная улица, 3
Благовещенская 2-я улица, 13
Чулымская 2-я улица, 37
Олимпийская улица, 2
Андреева улица, 14
Алеутская улица, 18
Бугурусланская улица, 36
Бердский переулок, 40
Ядринцевская улица, 35
Грекова 2-й переулок, 33
Яринская улица, 36
Юннатов улица, 25
Рабочий 5-й переулок, 26
Гусинобродское шоссе, 20
Зыряновская улица, 39
Галковского улица, 26
Социалистическая улица, 2
Водозабор улица, 20
Ольховская улица, 21
Почтовый 4-й переулок, 29
Октябрьская Магистраль улица, 40
Пестеля улица, 22
Островной переулок, 19
Красная Горка 3 Линия переулок, 13
Революции улица, 25
Угловая улица, 36
Оренбургская улица, 30
Юргинский переулок, 5
Терновый переулок, 11
Экскаваторный 1-й переулок, 28
Пермитина улица, 38
Мира 4-й переулок, 40
Пролетарская улица, 30
9 Ноября улица, 5
Гнесиных улица, 1
Строителей проспект, 28
Прокопьевская 2-я улица, 10
Серебренниковская улица, 36
Олекминская улица, 23
Станиславского 1-й переулок, 37
Береговой проезд, 15
Железнодорожный переулок, 31
Крылова улица, 10
Бориса Богаткова улица, 26
Караваева улица, 10
Сибирцева улица, 22
Юный Ленинец улица, 30
Шевченко улица, 28
Дюканова улица, 4
Косиора улица, 16
Онежская улица, 5
Маяковского улица, 10
Крамского улица, 4
Шатурская улица, 13
Хоккейная улица, 24
Тенистая улица, 37
Пилотов улица, 30
Станиславского 2-й переулок, 1
Академика Коптюга проспект, 34
Черкасский 2-й переулок, 36
Гаражная улица, 5
Гусинобродское шоссе, 3
Халтурина улица, 33
Красный Восток улица, 22
Ильича улица, 39
Высокогорная улица, 20
Лодочная 1-я улица, 39
Гидромонтажная улица, 5
Менделеева улица, 17
Бабушкина улица, 4
Дачная улица, 5
Волжская улица, 23
Трикотажный 5-й переулок, 36
Степана Разина улица, 24
Окинская улица, 2
Гэсстроевский 10-й переулок, 12
Камышенская улица, 29
Зеленхозовский 2-й переулок, 26
Яншина улица, 13
Губкина переулок, 10
Декоративная улица, 23
Благовещенская улица, 33
Журинский Спуск улица, 15
Декабристов Лог переулок, 32
Ставского улица, 27
Красноводская улица, 5
Демьяновская улица, 12
Каштановая 2-я улица, 5
Грузинский 1-й переулок, 35
Степной 3-й переулок, 31
Сокольнический переулок, 2
Воеводского улица, 22
Науки улица, 9
Бийский 3-й переулок, 6
Грузинская 1-я улица, 23
Плющихи Левый Берег улица, 31
Юный Ленинец улица, 34
Шевцовой 5-я улица, 21
Макаренко улица, 38
Электронный 1-й переулок, 15
Романовский Конный Спуск улица, 26
Юрия Смирнова улица, 38
Иня 12 км разъезд, 20
Тихая улица, 27
Лодочная 2-я улица, 6
Державина улица, 28
Островная улица, 23
Чулымская улица, 16
Аргунский переулок, 38
Шевцовой 2-я улица, 23
Менделеева переулок, 3
Рабочая 4-я улица, 39
Седова 1-й переулок, 14
Приовражная улица, 7
Дуси Ковальчук улица, 31
Поселковая улица, 17
Дружбы улица, 5
Береговая улица, 20
Штормовая улица, 23
Айвазовского Малая улица, 30
Красных Партизан 2-я улица, 39
Майская улица, 39
Загородная улица, 23
Ольховская 5-я улица, 9
Лермонтова улица, 25
Костычева 3-й переулок, 8
Пешеходная улица, 9
Кузьмы Минина улица, 7
Бронная 2-я улица, 5
Степная улица, 28
Татарская улица, 6
Миргородская 2-я улица, 9
Щетинкина улица, 12
Бердское шоссе, 18
Олекминская улица, 12
Короленко улица, 35
Бронный 1-й переулок, 1
Лесной п, 4
Почтовый 2-й переулок, 5
Шоссейная улица, 24
Ольховская 5-я улица, 15
Кедровая улица, 14
Мостовая улица, 26
Кондратюка площадь, 38
Бебеля улица, 6
Экскаваторная 2-я улица, 7
Щитовая улица, 1
Перова улица, 2
Лесной переулок, 3
Слюдянка улица, 28
Азербайджанская улица, 30
Эйхе улица, 34
Десантная улица, 23
Новокузнецкая улица, 38
Олекминская улица, 17
Больница УВД 3 тер, 36
Бурденко 3-й переулок, 18
Волжская улица, 26
Ставропольская улица, 14
Олега Кошевого улица, 34
Макетная улица, 27
Санаторий Обские Зори п, 6
Дунайская улица, 13
Ясногорская улица, 1
1 Кирзавод улица, 16
Разъездная улица, 14
Поддубенская улица, 18
Моховая 2-я улица, 39
Закарпатская улица, 11
5 Декабря улица, 39
Литовская улица, 29
Римского-Корсакова 3-й переулок, 34
Солнечная 2-я улица, 9
Тружеников улица, 30
Пятигорская улица, 20
Портовая улица, 19
Кедровая улица, 8
Карпатская улица, 37
Окинская улица, 40
Лесной переулок, 22
Менделеева переулок, 14
Байкальская улица, 26
Чернышевский Спуск улица, 23
Зеркальная улица, 3
Подбельского переулок, 15
Сельскохозяйственный переулок, 20
Красноуфимская улица, 15
Успенского 3-й переулок, 38
Успенского 4-й переулок, 13
Комбинатская улица, 30
Журавлева улица, 38
Славгородская 1-я улица, 11
Паромная улица, 14
Амбулаторный переулок, 40
Владивостокская улица, 38
Подгорная 1-я улица, 34
Плющиха улица, 4
Прямой переулок, 21
Романова улица, 7
Марата улица, 16
Литовская улица, 17
Пойменная улица, 29
Автомобильная улица, 4
Гоголя улица, 3
Марата улица, 37
Черкасский 3-й переулок, 39
Весенний проезд, 10
Кирзаводский 1-й переулок, 37
Олега Кошевого улица, 12
Анжерская улица, 26
Базовая улица, 29
Скрябина улица, 33
Красный проспект, 30
Моховая 2-я улица, 10
Анодная улица, 7
Верещагина переулок, 9
СМП-813 улица, 20
Базовая улица, 36
Судоремонтная улица, 2
Сызранская улица, 34
Воинская 2-я улица, 37
Выборная улица, 16
Бурлинский Блок-Пост переулок, 28
Рылеева улица, 13
Ветлужская улица, 6
Дружная улица, 35
Грекова 1-й переулок, 9
Сухарная Береговая 2-я улица, 38
Уфимская улица, 7
Дача Мэрии тер, 14
Лазо улица, 16
Трудовая улица, 28
Черкасский 4-й переулок, 37
Бронный 14-й переулок, 3
Порт-Артурский 5-й переулок, 6
Бурденко улица, 6
9 Ноября улица, 29
Тихвинский 2-й переулок, 25
Сибирская улица, 29
Новая улица, 4
Ольги Берггольц улица, 38
Рентгеновская улица, 9
Победы улица, 33
Газовая 1-я улица, 22
Брянская улица, 23
Докучаева улица, 36
Бассейный переулок, 22
Электронный 3-й переулок, 38
Морской проспект, 23
Аральская улица, 7
Немировича-Данченко 1-й переулок, 16
Железнодорожный переулок, 16
Оптическая улица, 25
30 лет Октября улица, 9
Почтовый Лог улица, 14
Годовикова улица, 32
Станиславского 4-й переулок, 21
Красносельский 2-й проезд, 40
Маяковского улица, 32
Северный переулок, 10
Машиностроителей улица, 1
Авиационная улица, 7
Астрономическая улица, 5
Лаптева улица, 27
СМП-813 улица, 20
Дмитрия Донского улица, 21
Кирзаводский 1-й переулок, 14
Заельцовский Парк тер, 4
Успенского 7-й переулок, 30
Ракитная 1-я улица, 36
Пасечная улица, 32
Арзамасская улица, 26
Пашино пгт, 36
Казачинская улица, 15
Ельнинская улица, 3
Полякова улица, 29
Инская 1-я улица, 31
Пестеля улица, 12
Танкистов 5-й переулок, 8
Днепрогэсовская улица, 37
Бронный 3-й переулок, 12
Окинская улица, 30
Гастелло улица, 15
Бирюсинка улица, 39
Калужский 4-й переулок, 31
Карамзина улица, 37
Панишева улица, 18
Красносельская улица, 37
Дивногорская улица, 34
Мартовская улица, 3
Пограничная улица, 12
Дачное шоссе, 17
МОПРА улица, 26
Островная улица, 21
Рассветная улица, 11
Мочищенский Спуск улица, 17
Киевская улица, 32
Воскова улица, 4
Кирзаводская 1-я улица, 21
Бугринский Выселок переулок, 22
Трикотажный 9-й переулок, 5
Нагорная улица, 8
Первомайская улица, 39
Полякова улица, 34
Ученическая улица, 30
Ивлева улица, 30
Панишева улица, 9
Твардовского улица, 36
Фадеева 2-й переулок, 3
Дачная улица, 19
Еловая улица, 37
Выборный переулок, 2
Владимировский тупик, 13
Прибрежный переулок, 7
Еловая улица, 32
Судоходная улица, 7
Судоремонтная улица, 35
Куйбышева 2-я улица, 36
Кавказский 1-й переулок, 14
Серафимовича 4-й переулок, 9
Макетная улица, 19
Бронный 14-й переулок, 34
Западная улица, 16
Родниковая улица, 36
Инская улица, 7
Экваторная улица, 40
Выборный переулок, 24
Дружная улица, 32
Трикотажный 3-й переулок, 16
Тупиковая улица, 8
Таманский 1-й переулок, 2
Подъемная улица, 20
Военного городка тер, 13
Соревнования улица, 25
Немировича-Данченко улица, 25
Дружная улица, 21
Новый переулок, 39
Снежная улица, 21
Ясногорская улица, 8
Станиславского улица, 9
Майский переулок, 22
Дунаевского улица, 40
Рионская улица, 2
Сусанина улица, 2
Столичная улица, 5
Свердлова площадь, 12
Пожарского улица, 22
Военная Горка 6 Линия переулок, 22
Кузьмы Минина улица, 5
Карская улица, 2
Новая улица, 10
Октябрьская улица, 27
Инюшенский 2-й переулок, 24
